date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2018-10-26,2018-19,Apertura,14,False,Veracruz,Pachuca,2.0,3.0,0.0,1.0,footballcsv
2018-10-27,2018-19,Apertura,14,False,Guadalajara,Monarcas Morelia,1.0,2.0,1.0,0.0,footballcsv
2018-10-27,2018-19,Apertura,14,False,Tigres UANL,Lobos BUAP,2.0,2.0,0.0,1.0,footballcsv
2018-10-27,2018-19,Apertura,14,False,Necaxa,Atlas,2.0,2.0,0.0,1.0,footballcsv
2018-10-27,2018-19,Apertura,14,False,Tijuana,Pumas UNAM,0.0,1.0,0.0,0.0,footballcsv
2018-10-27,2018-19,Apertura,14,False,Cruz Azul,América,0.0,0.0,0.0,0.0,footballcsv
2018-10-28,2018-19,Apertura,14,False,León,Puebla,0.0,4.0,0.0,2.0,footballcsv
2018-10-28,2018-19,Apertura,14,False,Toluca,Querétaro,4.0,0.0,1.0,0.0,footballcsv
2018-11-02,2018-19,Apertura,15,False,Monarcas Morelia,Tigres UANL,0.0,2.0,0.0,0.0,footballcsv
2018-11-02,2018-19,Apertura,15,False,Puebla,Guadalajara,2.0,2.0,0.0,2.0,footballcsv
2018-11-03,2018-19,Apertura,15,False,Monterrey,Veracruz,2.0,0.0,1.0,0.0,footballcsv
2018-11-03,2018-19,Apertura,15,False,América,Toluca,1.0,1.0,1.0,1.0,footballcsv
2018-11-03,2018-19,Apertura,15,False,Pachuca,Necaxa,6.0,2.0,3.0,0.0,footballcsv
2018-11-03,2018-19,Apertura,15,False,Lobos BUAP,Tijuana,3.0,1.0,1.0,0.0,footballcsv
2018-11-04,2018-19,Apertura,15,False,Pumas UNAM,Cruz Azul,1.0,2.0,0.0,1.0,footballcsv
2018-11-04,2018-19,Apertura,15,False,Querétaro,Santos Laguna,2.0,1.0,1.0,0.0,footballcsv
2018-11-04,2018-19,Apertura,15,False,Atlas,León,0.0,0.0,0.0,0.0,footballcsv
2018-11-09,2018-19,Apertura,16,False,Atlas,Pachuca,0.0,0.0,0.0,0.0,footballcsv
2018-11-09,2018-19,Apertura,16,False,Veracruz,Querétaro,2.0,2.0,2.0,0.0,footballcsv
2018-11-10,2018-19,Apertura,16,False,León,Guadalajara,0.0,1.0,0.0,0.0,footballcsv
2018-11-10,2018-19,Apertura,16,False,Cruz Azul,Lobos BUAP,2.0,1.0,2.0,1.0,footballcsv
2018-11-10,2018-19,Apertura,16,False,Tijuana,Monarcas Morelia,2.0,3.0,0.0,1.0,footballcsv
2018-11-10,2018-19,Apertura,16,False,Tigres UANL,Puebla,6.0,1.0,4.0,1.0,footballcsv
2018-11-10,2018-19,Apertura,16,False,Necaxa,Monterrey,1.0,1.0,0.0,1.0,footballcsv
2018-11-11,2018-19,Apertura,16,False,Santos Laguna,América,1.0,1.0,0.0,0.0,footballcsv
2018-11-11,2018-19,Apertura,16,False,Toluca,Pumas UNAM,0.0,1.0,0.0,1.0,footballcsv
2018-11-23,2018-19,Apertura,17,False,Puebla,Tijuana,0.0,0.0,0.0,0.0,footballcsv
2018-11-23,2018-19,Apertura,17,False,Monarcas Morelia,Cruz Azul,0.0,2.0,0.0,0.0,footballcsv
2018-11-24,2018-19,Apertura,17,False,Monterrey,Atlas,3.0,1.0,1.0,0.0,footballcsv
2018-11-24,2018-19,Apertura,17,False,Guadalajara,Tigres UANL,0.0,1.0,0.0,0.0,footballcsv
2018-11-24,2018-19,Apertura,17,False,Querétaro,Necaxa,1.0,0.0,1.0,0.0,footballcsv
2018-11-24,2018-19,Apertura,17,False,Pachuca,León,1.0,1.0,1.0,1.0,footballcsv
2018-11-24,2018-19,Apertura,17,False,América,Veracruz,4.0,1.0,3.0,1.0,footballcsv
2018-11-25,2018-19,Apertura,17,False,Lobos BUAP,Toluca,2.0,0.0,1.0,0.0,footballcsv
2018-11-25,2018-19,Apertura,17,False,Pumas UNAM,Santos Laguna,1.0,1.0,0.0,1.0,footballcsv
2018-11-28,2018-19,Apertura - Liguilla,Quarterfinals,True,Monterrey,Santos Laguna,1.0,0.0,0.0,0.0,footballcsv
2018-11-28,2018-19,Apertura - Liguilla,Quarterfinals,True,Querétaro,Cruz Azul,0.0,2.0,0.0,1.0,footballcsv
2018-11-29,2018-19,Apertura - Liguilla,Quarterfinals,True,Tigres UANL,Pumas UNAM,2.0,1.0,0.0,1.0,footballcsv
2018-11-29,2018-19,Apertura - Liguilla,Quarterfinals,True,Toluca,América,2.0,2.0,1.0,2.0,footballcsv
2018-12-01,2018-19,Apertura - Liguilla,Quarterfinals,True,Cruz Azul,Querétaro,1.0,1.0,1.0,0.0,footballcsv
2018-12-01,2018-19,Apertura - Liguilla,Quarterfinals,True,Santos Laguna,Monterrey,0.0,2.0,0.0,0.0,footballcsv
2018-12-02,2018-19,Apertura - Liguilla,Quarterfinals,True,América,Toluca,3.0,2.0,2.0,0.0,footballcsv
2018-12-02,2018-19,Apertura - Liguilla,Quarterfinals,True,Pumas UNAM,Tigres UANL,3.0,1.0,0.0,0.0,footballcsv
2018-12-05,2018-19,Apertura - Liguilla,Semifinals,True,Monterrey,Cruz Azul,1.0,0.0,1.0,0.0,footballcsv
2018-12-06,2018-19,Apertura - Liguilla,Semifinals,True,Pumas UNAM,América,1.0,1.0,0.0,1.0,footballcsv
2018-12-08,2018-19,Apertura - Liguilla,Semifinals,True,Cruz Azul,Monterrey,1.0,0.0,0.0,0.0,footballcsv
2018-12-09,2018-19,Apertura - Liguilla,Semifinals,True,América,Pumas UNAM,6.0,1.0,3.0,1.0,footballcsv
2018-12-13,2018-19,Apertura - Liguilla,Final,True,América,Cruz Azul,0.0,0.0,0.0,0.0,footballcsv
2018-12-16,2018-19,Apertura - Liguilla,Final,True,Cruz Azul,América,0.0,2.0,0.0,0.0,footballcsv
2019-01-04,2018-19,Clausura,1,False,Monarcas Morelia,Toluca,1.0,3.0,1.0,2.0,footballcsv
2019-01-04,2018-19,Clausura,1,False,Puebla,Cruz Azul,1.0,1.0,1.0,1.0,footballcsv
2019-01-05,2018-19,Clausura,1,False,Monterrey,Pachuca,5.0,0.0,1.0,0.0,footballcsv
2019-01-05,2018-19,Clausura,1,False,León,Tigres UANL,2.0,2.0,1.0,1.0,footballcsv
2019-01-05,2018-19,Clausura,1,False,Guadalajara,Tijuana,2.0,0.0,0.0,0.0,footballcsv
2019-01-05,2018-19,Clausura,1,False,Querétaro,Atlas,1.0,2.0,1.0,1.0,footballcsv
2019-01-06,2018-19,Clausura,1,False,Pumas UNAM,Veracruz,0.0,0.0,0.0,0.0,footballcsv
2019-01-06,2018-19,Clausura,1,False,Lobos BUAP,Santos Laguna,2.0,0.0,0.0,0.0,footballcsv
2019-01-11,2018-19,Clausura,2,False,Atlas,América,1.0,2.0,0.0,0.0,footballcsv
2019-01-11,2018-19,Clausura,2,False,Veracruz,Lobos BUAP,0.0,1.0,0.0,0.0,footballcsv
2019-01-12,2018-19,Clausura,2,False,Necaxa,Pumas UNAM,2.0,1.0,1.0,0.0,footballcsv
2019-01-12,2018-19,Clausura,2,False,Pachuca,Querétaro,3.0,0.0,0.0,0.0,footballcsv
2019-01-12,2018-19,Clausura,2,False,Monterrey,León,2.0,2.0,0.0,0.0,footballcsv
2019-01-12,2018-19,Clausura,2,False,Tijuana,Tigres UANL,0.0,3.0,0.0,0.0,footballcsv
2019-01-12,2018-19,Clausura,2,False,Cruz Azul,Guadalajara,0.0,1.0,0.0,0.0,footballcsv
2019-01-13,2018-19,Clausura,2,False,Toluca,Puebla,2.0,0.0,1.0,0.0,footballcsv
