date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-09-23,2018-19,Apertura,10,False,Santos Laguna,CD Veracruz,1.0,1.0,0.0,0.0,footballcsv,Santos Laguna,Veracruz
2018-09-23,2018-19,Apertura,10,False,UANL Tigres,CF Monterrey,0.0,0.0,0.0,0.0,footballcsv,Tigres UANL,Monterrey
2018-09-23,2018-19,Apertura,10,False,Deportivo Guadalajara,Gallos Blancos,1.0,1.0,0.0,0.0,footballcsv,Guadalajara,Querétaro
2018-09-28,2018-19,Apertura,11,False,CD Veracruz,Club León,0.0,4.0,0.0,1.0,footballcsv,Veracruz,León
2018-09-28,2018-19,Apertura,11,False,Atlas Guadalajara,Deportivo Toluca,2.0,0.0,1.0,0.0,footballcsv,Atlas,Toluca
2018-09-29,2018-19,Apertura,11,False,Gallos Blancos,UANL Tigres,0.0,2.0,0.0,0.0,footballcsv,Querétaro,Tigres UANL
2018-09-29,2018-19,Apertura,11,False,CF Monterrey,Club Tijuana,3.0,0.0,1.0,0.0,footballcsv,Monterrey,Tijuana
2018-09-29,2018-19,Apertura,11,False,Club Necaxa,Santos Laguna,0.0,1.0,0.0,1.0,footballcsv,Necaxa,Santos Laguna
2018-09-29,2018-19,Apertura,11,False,CF Pachuca,Cruz Azul,3.0,1.0,3.0,1.0,footballcsv,Pachuca,Cruz Azul
2018-09-30,2018-19,Apertura,11,False,Pumas UNAM,Puebla FC,2.0,2.0,2.0,0.0,footballcsv,Pumas UNAM,Puebla
2018-09-30,2018-19,Apertura,11,False,Lobos BUAP,Monarcas Morelia,3.0,1.0,1.0,0.0,footballcsv,Lobos BUAP,Monarcas Morelia
2018-09-30,2018-19,Apertura,11,False,CF América,Deportivo Guadalajara,1.0,1.0,0.0,0.0,footballcsv,América,Guadalajara
2018-10-05,2018-19,Apertura,12,False,CD Veracruz,Club Necaxa,0.0,0.0,0.0,0.0,footballcsv,Veracruz,Necaxa
2018-10-05,2018-19,Apertura,12,False,Santos Laguna,Atlas Guadalajara,3.0,1.0,1.0,0.0,footballcsv,Santos Laguna,Atlas
2018-10-06,2018-19,Apertura,12,False,Cruz Azul,CF Monterrey,2.0,1.0,1.0,1.0,footballcsv,Cruz Azul,Monterrey
2018-10-06,2018-19,Apertura,12,False,Club Tijuana,Gallos Blancos,1.0,1.0,1.0,0.0,footballcsv,Tijuana,Querétaro
2018-10-06,2018-19,Apertura,12,False,Deportivo Guadalajara,Pumas UNAM,1.0,2.0,1.0,1.0,footballcsv,Guadalajara,Pumas UNAM
2018-10-06,2018-19,Apertura,12,False,Club León,Monarcas Morelia,1.0,2.0,0.0,0.0,footballcsv,León,Monarcas Morelia
2018-10-06,2018-19,Apertura,12,False,UANL Tigres,CF América,2.0,3.0,1.0,1.0,footballcsv,Tigres UANL,América
2018-10-07,2018-19,Apertura,12,False,Deportivo Toluca,CF Pachuca,2.0,1.0,1.0,1.0,footballcsv,Toluca,Pachuca
2018-10-07,2018-19,Apertura,12,False,Puebla FC,Lobos BUAP,2.0,2.0,0.0,1.0,footballcsv,Puebla,Lobos BUAP
2018-10-19,2018-19,Apertura,13,False,Atlas Guadalajara,CD Veracruz,4.0,3.0,2.0,2.0,footballcsv,Atlas,Veracruz
2018-10-20,2018-19,Apertura,13,False,Gallos Blancos,Cruz Azul,2.0,0.0,0.0,0.0,footballcsv,Querétaro,Cruz Azul
2018-10-20,2018-19,Apertura,13,False,CF Pachuca,Santos Laguna,1.0,1.0,1.0,0.0,footballcsv,Pachuca,Santos Laguna
2018-10-20,2018-19,Apertura,13,False,CF América,Club Tijuana,3.0,0.0,2.0,0.0,footballcsv,América,Tijuana
2018-10-20,2018-19,Apertura,13,False,CF Monterrey,Deportivo Toluca,2.0,1.0,0.0,0.0,footballcsv,Monterrey,Toluca
2018-10-20,2018-19,Apertura,13,False,Club Necaxa,Club León,0.0,2.0,0.0,1.0,footballcsv,Necaxa,León
2018-10-21,2018-19,Apertura,13,False,Pumas UNAM,UANL Tigres,3.0,3.0,2.0,2.0,footballcsv,Pumas UNAM,Tigres UANL
2018-10-21,2018-19,Apertura,13,False,Monarcas Morelia,Puebla FC,2.0,0.0,0.0,0.0,footballcsv,Monarcas Morelia,Puebla
2018-10-21,2018-19,Apertura,13,False,Lobos BUAP,Deportivo Guadalajara,1.0,1.0,1.0,0.0,footballcsv,Lobos BUAP,Guadalajara
2018-10-26,2018-19,Apertura,14,False,Santos Laguna,CF Monterrey,1.0,0.0,1.0,0.0,footballcsv,Santos Laguna,Monterrey
2018-10-26,2018-19,Apertura,14,False,CD Veracruz,CF Pachuca,2.0,3.0,0.0,1.0,footballcsv,Veracruz,Pachuca
2018-10-27,2018-19,Apertura,14,False,Club Tijuana,Pumas UNAM,0.0,1.0,0.0,0.0,footballcsv,Tijuana,Pumas UNAM
2018-10-27,2018-19,Apertura,14,False,Club Necaxa,Atlas Guadalajara,2.0,2.0,0.0,1.0,footballcsv,Necaxa,Atlas
2018-10-27,2018-19,Apertura,14,False,Cruz Azul,CF América,0.0,0.0,0.0,0.0,footballcsv,Cruz Azul,América
2018-10-27,2018-19,Apertura,14,False,UANL Tigres,Lobos BUAP,2.0,2.0,0.0,1.0,footballcsv,Tigres UANL,Lobos BUAP
2018-10-27,2018-19,Apertura,14,False,Deportivo Guadalajara,Monarcas Morelia,1.0,2.0,1.0,0.0,footballcsv,Guadalajara,Monarcas Morelia
